title,accuracy,entity_accuracy,predictions,targets
ohne Titel,0.0,{'PER': 0.0},"[Entity(""ohne"", PER, (0,4))]",[]
ohne Titel,0.0,{'PER': 0.0},"[Entity(""ohne"", PER, (0,4))]",[]
"Hodel, Herrn J.",0.0,{'PER': 0.0},[],"[Entity(""Hodel, Herrn J."", PER, (0,15))]"
Post Vaduz,0.0,{'LOC': 0.0},[],"[Entity(""Vaduz"", LOC, (5,10))]"
Abänderung Vorschlag B 1,,{},[],[]
"Spirig, Herrn Dr. Hugo",0.0,{'PER': 0.0},[],"[Entity(""Spirig, Herrn Dr. Hugo"", PER, (0,22))]"
Gartengrundriss,,{},[],[]
"Rohr, Herrn W.",0.0,{'PER': 0.0},[],"[Entity(""Rohr, Herrn W."", PER, (0,14))]"
Projektierungsgrundlage für eine Abdankungshalle,,{},[],[]
Landhaus / Hofgestaltung + Kanalisation,0.0,"{'LOC': 0.0, 'PER': 0.0}","[Entity(""Landhaus"", LOC, (0,8)), Entity(""/"", PER, (9,10)), Entity(""Hofgestaltung"", LOC, (11,24)), Entity(""+"", PER, (25,26))]",[]
Granittisch 2 Konsolen,,{},[],[]
ohne Titel,0.0,{'PER': 0.0},"[Entity(""ohne"", PER, (0,4))]",[]
Bank aus Mägenwiler Muschelkalk,0.0,{'LOC': 0.0},"[Entity(""Mägenwiler"", LOC, (9,19))]",[]
Ansicht West / Süd,,{},[],[]
Schnitt,,{},[],[]
ohne Titel,0.0,{'PER': 0.0},"[Entity(""ohne"", PER, (0,4))]",[]
Rationeller Wohnungs und Siedlungsbau / Neupflanzung / Pflanzschema,0.0,{'LOC': 0.0},"[Entity(""Wohnungs"", LOC, (12,20)), Entity(""Siedlungsbau"", LOC, (25,37)), Entity(""Neupflanzung"", LOC, (40,52))]",[]
Gartengrundriss,,{},[],[]
Grabpflanzung / Waldfriedhof Schaffhausen,0.0,{'LOC': 0.0},"[Entity(""Grabpflanzung"", LOC, (0,13))]","[Entity(""Schaffhausen"", LOC, (29,41))]"
,,{},[],[]
,,{},[],[]
Garten des Herrn Hans Löw-Villars Oberaach Detailplan für Plattenwege im Schattengarten,0.0,"{'LOC': 0.0, 'PER': 0.0}",[],"[Entity(""Herrn Hans Löw-Villars"", PER, (11,33)), Entity(""Oberaach"", LOC, (34,42))]"
Bauplatz Franzoni,0.0,{'PER': 0.0},[],"[Entity(""Franzoni"", PER, (9,17))]"
"Projekt für die Gartenanlage des Herrn Direktor, Fessler- u. Muralt, Zürich",0.0,"{'LOC': 0.0, 'PER': 0.0}","[Entity(""die"", PER, (12,15)), Entity(""Gartenanlage"", LOC, (16,28)), Entity(""des"", PER, (29,32)), Entity(""Fessler-"", LOC, (49,57)), Entity(""u."", PER, (58,60)), Entity(""Muralt,"", LOC, (61,68))]","[Entity(""Herrn Direktor, Fessler- u. Muralt"", PER, (33,67)), Entity(""Zürich"", LOC, (69,75))]"
Garten des Herrn H. Löw Oberaach Bepflanzung des Vorgartens,0.0,"{'LOC': 0.0, 'PER': 0.0}",[],"[Entity(""Herrn H. Löw"", PER, (11,23)), Entity(""Oberaach"", LOC, (24,32))]"
"Evang. Kirchgemeinde Romanshorn, Pfarrgarten 3, Vorschlag für die Umgestaltung",0.0,{'LOC': 0.0},[],"[Entity(""Romanshorn"", LOC, (21,31))]"
Grundrissskizze,,{},[],[]
"Garten des Herrn Ad, Rüdisüli-Bruderer, Bühler, Vorschlag für den Hausgarten",0.0,"{'LOC': 0.0, 'PER': 0.0}","[Entity(""Rüdisüli-Bruderer,"", LOC, (21,39)), Entity(""Bühler,"", LOC, (40,47))]","[Entity(""Herrn Ad, Rüdisüli-Bruderer, Bühler"", PER, (11,46))]"
"Landhaus von Herrn Max Schmidheiny-Glarner, Heerbrugg, Südfassade mit neuer Terrasse",0.0,"{'LOC': 0.0, 'PER': 0.0}","[Entity(""Landhaus"", LOC, (0,8)), Entity(""von"", LOC, (9,12)), Entity(""Herrn"", LOC, (13,18)), Entity(""Max"", LOC, (19,22)), Entity(""Schmidheiny-Glarner,"", LOC, (23,43)), Entity(""Heerbrugg,"", LOC, (44,54)), Entity(""Südfassade"", LOC, (55,65)), Entity(""mit"", LOC, (66,69)), Entity(""neuer"", PER, (70,75))]","[Entity(""Max Schmidheiny-Glarner"", PER, (19,42)), Entity(""Heerbrugg"", LOC, (44,53))]"
Grundrissskizze,,{},[],[]
"Garten des Herrn Dir. Griesser Aadorf, Bepflanzungsvorschlag für die Staudenrabatten",0.0,"{'LOC': 0.0, 'PER': 0.0}","[Entity(""des"", PER, (7,10)), Entity(""die"", PER, (65,68))]","[Entity(""Herrn Dir. Griesser"", PER, (11,30)), Entity(""Aadorf"", LOC, (31,37))]"
"Skizze, Garten des Herrn Dr. H. Mötteli",0.0,"{'LOC': 0.0, 'PER': 0.0}","[Entity(""Garten"", LOC, (8,14))]","[Entity(""Herrn Dr. H. Mötteli"", PER, (19,39))]"
"Garten des Herrn Dr. med. H. Odermatt, in Goldach, St. Gallen",0.0,"{'LOC': 0.0, 'PER': 0.0}","[Entity(""in"", LOC, (39,41)), Entity(""Goldach,"", LOC, (42,50)), Entity(""St."", LOC, (51,54))]","[Entity(""Herrn Dr. med. H. Odermatt"", PER, (11,37)), Entity(""Goldach, St. Gallen"", LOC, (42,61))]"
"Garten von Frau Möriköfer-Müller Romanshorn, Arbeitsplan",0.0,"{'LOC': 0.0, 'PER': 0.0}",[],"[Entity(""Frau Möriköfer-Müller"", PER, (11,32)), Entity(""Romanshorn"", LOC, (33,43))]"
"Schloss Heerbrugg, Ideenskizze für die Abänderung beim Badegarten",0.0,"{'LOC': 0.0, 'PER': 0.0}","[Entity(""Ideenskizze"", LOC, (19,30)), Entity(""die"", PER, (35,38)), Entity(""Abänderung"", LOC, (39,49)), Entity(""beim"", PER, (50,54))]",[]
"Garten des Hrn. A. jetter, Rorschacherberg, Mauer- und Treppenpartie Ostseite",0.0,"{'LOC': 0.0, 'PER': 0.0}","[Entity(""Garten"", LOC, (0,6)), Entity(""Hrn."", LOC, (11,15)), Entity(""A."", LOC, (16,18)), Entity(""jetter,"", PER, (19,26)), Entity(""Rorschacherberg,"", LOC, (27,43)), Entity(""Mauer-"", LOC, (44,50))]","[Entity(""Hrn. A. jetter"", PER, (11,25)), Entity(""Rorschacherberg"", LOC, (27,42))]"
Garten des Hrn E. Chytil Rorschach Arbeitsplan,0.0,"{'LOC': 0.0, 'PER': 0.0}",[],"[Entity(""Hrn E. Chytil"", PER, (11,24)), Entity(""Rorschach"", LOC, (25,34))]"
"Garten des Herrn Dr. Rusch-Hälg, St. Gallen, Generelles Projekt",0.5,"{'LOC': 1.0, 'PER': 0.0}","[Entity(""St."", LOC, (33,36)), Entity(""Gallen,"", LOC, (37,44))]","[Entity(""Herrn Dr. Rusch-Hälg"", PER, (11,31)), Entity(""St. Gallen"", LOC, (33,43))]"
Aluminiumwerke A.-G. Rorschach Vorschlag 1,0.0,{'LOC': 0.0},[],"[Entity(""Rorschach"", LOC, (21,30))]"
"Schloss Heerbrugg, Bes. Herr Oberst J. Schmidheiny, Eiserne Leiter im Bassin",0.0,"{'LOC': 0.0, 'PER': 0.0}","[Entity(""Bes."", LOC, (19,23)), Entity(""Schmidheiny,"", LOC, (39,51)), Entity(""Eiserne"", LOC, (52,59))]","[Entity(""Bes. Herr Oberst J. Schmidheiny"", PER, (19,50))]"
Garten Rorschach,0.0,{'LOC': 0.0},[],"[Entity(""Rorschach"", LOC, (7,16))]"
Garten des hrn. Burkhardt Rebenstrasse Arbon,0.0,"{'LOC': 0.0, 'PER': 0.0}","[Entity(""hrn."", LOC, (11,15))]","[Entity(""hrn. Burkhardt"", PER, (11,25)), Entity(""Rebenstrasse Arbon"", LOC, (26,44))]"
"Vonwil - Bau AG, Wohnblock Schillerstrasse/Salistrasse St. Gallen, Skizze für Grünstrefien längs Strasse",0.0,"{'LOC': 0.0, 'PER': 0.0}","[Entity(""Vonwil"", LOC, (0,6)), Entity(""-"", PER, (7,8)), Entity(""Bau"", LOC, (9,12)), Entity(""Wohnblock"", LOC, (17,26)), Entity(""Schillerstrasse/Salistrasse"", LOC, (27,54)), Entity(""Gallen,"", LOC, (59,66)), Entity(""Skizze"", LOC, (67,73))]","[Entity(""Schillerstrasse/Salistrasse St. Gallen"", LOC, (27,65))]"
Aufnahme des Fels im Bassin,0.0,{'PER': 0.0},"[Entity(""des"", PER, (9,12))]",[]
Schloss Heerbrugg Südterrasse mit Gartenhaus,0.0,{'LOC': 0.0},"[Entity(""mit"", LOC, (30,33))]",[]
"Liegenschaften Mariabergstr. 39,41,43 Rorschach",0.2,{'LOC': 0.2},"[Entity(""39,41,43"", LOC, (29,37))]","[Entity(""Mariabergstr. 39,41,43 Rorschach"", LOC, (15,47))]"
Schlossgut Bachtobel,0.0,{'LOC': 0.0},[],"[Entity(""Bachtobel"", LOC, (11,20))]"
"Anlage des Herrn A. Raduner, Horn, Beerenobst Garten",0.5,"{'LOC': 1.0, 'PER': 0.0}","[Entity(""Horn,"", LOC, (29,34))]","[Entity(""Herrn A. Raduner"", PER, (11,27)), Entity(""Horn"", LOC, (29,33))]"
Skizze,,{},[],[]
"Evangelische Kirche Goldach, Skizze für Mauer + Treppenpartie",0.0,"{'LOC': 0.0, 'PER': 0.0}","[Entity(""Kirche"", LOC, (13,19)), Entity(""+"", PER, (46,47))]","[Entity(""Goldach"", LOC, (20,27))]"
"Evang. Kirche Goldach, Arbeitsplan für die Umgebungsarbeiten",0.0,"{'LOC': 0.0, 'PER': 0.0}","[Entity(""Evang."", LOC, (0,6)), Entity(""die"", PER, (39,42))]","[Entity(""Goldach"", LOC, (14,21))]"
"Herrn K. Rupprecht, Pension Eden, Rheinfelden, Vogelbassin",0.5,"{'LOC': 1.0, 'PER': 0.0}","[Entity(""Rheinfelden,"", LOC, (34,46))]","[Entity(""Herrn K. Rupprecht"", PER, (0,18)), Entity(""Rheinfelden"", LOC, (34,45))]"
"Hr. Roller-Winkler, Turbenthal, Bassin",0.5,"{'LOC': 1.0, 'PER': 0.0}","[Entity(""Turbenthal,"", LOC, (20,31))]","[Entity(""Hr. Roller-Winkler"", PER, (0,18)), Entity(""Turbenthal"", LOC, (20,30))]"
"Liegenschaften: Boller-Winkler, Winkler-Heene",,{},[],[]
C. Stürm + CO. AG Rorschach / Vorschlag für den Landabtausch zwischen den Parzellen 1593 + 1594,0.0,"{'LOC': 0.0, 'PER': 0.0}","[Entity(""C."", LOC, (0,2)), Entity(""Stürm"", LOC, (3,8)), Entity(""+"", PER, (9,10)), Entity(""CO."", LOC, (11,14)), Entity(""den"", PER, (44,47)), Entity(""Landabtausch"", LOC, (48,60)), Entity(""zwischen"", LOC, (61,69)), Entity(""+"", PER, (9,10))]","[Entity(""C. Stürm + CO. AG"", PER, (0,17)), Entity(""Rorschach"", LOC, (18,27))]"
"Friedhofanlage bei der Kath. Pfarrkirche, Rorschach, Vorschlag 3",0.5,"{'LOC': 1.0, 'PER': 0.0}","[Entity(""bei"", PER, (15,18)), Entity(""der"", PER, (19,22)), Entity(""Rorschach,"", LOC, (42,52))]","[Entity(""Rorschach"", LOC, (42,51))]"
"Gartenanlage des Herrn Hpt. Straub, Amriswil",0.0,"{'LOC': 0.0, 'PER': 0.0}",[],"[Entity(""Herrn Hpt. Straub"", PER, (17,34)), Entity(""Amriswil"", LOC, (36,44))]"
Skizze,,{},[],[]
"Kanton Thurgau, Stadt Kreuzlingen, Ausbau Hauptstrasse, Liegenschaften Sanatorium Bellevue AG, Anpassungsarbeiten / Genereller Vorschlag, M. 1:200",0.16666666666666666,{'LOC': 0.16666666666666666},"[Entity(""Kanton"", LOC, (0,6)), Entity(""Thurgau,"", LOC, (7,15)), Entity(""Stadt"", LOC, (16,21)), Entity(""Kreuzlingen,"", LOC, (22,34)), Entity(""Ausbau"", LOC, (35,41)), Entity(""Hauptstrasse,"", LOC, (42,55)), Entity(""Sanatorium"", LOC, (71,81)), Entity(""Bellevue"", LOC, (82,90)), Entity(""AG,"", LOC, (91,94)), Entity(""Anpassungsarbeiten"", LOC, (95,113)), Entity(""M."", LOC, (138,140))]","[Entity(""Kanton Thurgau, Stadt Kreuzlingen, Ausbau Hauptstrasse"", LOC, (0,54))]"
Skizze Kaufmann Laufenburg ,,{},[],[]
Skizze,,{},[],[]
"Friedhof Rheineck, Urnenfeld, Bepflanzungsplan",0.0,{'LOC': 0.0},"[Entity(""Urnenfeld,"", LOC, (19,29))]","[Entity(""Rheineck"", LOC, (9,17))]"
Skizze,,{},[],[]
,,{},[],[]
"Friedhoferweiterung Rheineck, Schmiedeisernes Tor",0.0,{'LOC': 0.0},[],"[Entity(""Rheineck"", LOC, (20,28))]"
"Gartetn des Hrn. Dir. L. Sauter Ermatingen, Arbeitsplan",0.0,"{'LOC': 0.0, 'PER': 0.0}","[Entity(""Hrn."", LOC, (12,16)), Entity(""Dir."", LOC, (17,21)), Entity(""L."", LOC, (22,24))]","[Entity(""Hrn. Dir. L. Sauter"", PER, (12,31)), Entity(""Ermatingen"", LOC, (32,42))]"
"Garten des Herrn E. Wüthrich, Steinebrunn, Bepflanzungsplan für das Rosenbeet",0.0,"{'LOC': 0.0, 'PER': 0.0}","[Entity(""des"", PER, (7,10)), Entity(""das"", PER, (64,67))]","[Entity(""Herrn E. Wüthrich"", PER, (11,28)), Entity(""Steinebrunn"", LOC, (30,41))]"
Grundrissskizze,,{},[],[]
Grundrissskizze,,{},[],[]
"Herrn Dir. L. Sauter Ermatingen, Skizze der Einfahrts-Partie",0.0,"{'LOC': 0.0, 'PER': 0.0}",[],"[Entity(""Herrn Dir. L. Sauter"", PER, (0,20)), Entity(""Ermatingen"", LOC, (21,31))]"
Skizze,,{},[],[]
"Bahnhofpark Appenzell, Bepflanzung der Grünanlage vor der Bank",0.0,{'LOC': 0.0},"[Entity(""Grünanlage"", LOC, (39,49)), Entity(""vor"", LOC, (50,53)), Entity(""der"", LOC, (35,38))]","[Entity(""Appenzell"", LOC, (12,21))]"
"Garten des Herrn Dir. Satuer Mannenbach, Bepflanzung für den Blumengarten",0.0,"{'LOC': 0.0, 'PER': 0.0}","[Entity(""des"", PER, (7,10))]","[Entity(""Herrn Dir. Satuer"", PER, (11,28)), Entity(""Mannenbach"", LOC, (29,39))]"
"Garten des Hrn. H. Kürschner St. Gallen, Plattenbelag beim Sitzplatz auf der Ostseite",0.0,"{'LOC': 0.0, 'PER': 0.0}","[Entity(""Garten"", LOC, (0,6)), Entity(""Hrn."", LOC, (11,15)), Entity(""H."", LOC, (16,18)), Entity(""Kürschner"", LOC, (19,28)), Entity(""St."", LOC, (29,32)), Entity(""Gallen,"", LOC, (33,40)), Entity(""Plattenbelag"", LOC, (41,53)), Entity(""beim"", LOC, (54,58)), Entity(""Sitzplatz"", LOC, (59,68)), Entity(""der"", LOC, (73,76))]","[Entity(""Hrn. H. Kürschner"", PER, (11,28)), Entity(""St. Gallen"", LOC, (29,39))]"
"Herrn O. Konrad, Hotel Bahnhof, Romanshorn, Gartenwirtschaft",0.0,"{'LOC': 0.0, 'PER': 0.0}","[Entity(""Romanshorn,"", LOC, (32,43))]","[Entity(""Herrn O. Konrad"", PER, (0,15)), Entity(""Hotel Bahnhof, Romanshorn"", LOC, (17,42))]"
Friedhof Salmsach Kinderfeld,0.0,{'LOC': 0.0},[],"[Entity(""Salmsach"", LOC, (9,17))]"
"Anstalt Bernrain, Kreuzlingen, Profile",1.0,{'LOC': 1.0},"[Entity(""Kreuzlingen,"", LOC, (18,30))]","[Entity(""Kreuzlingen"", LOC, (18,29))]"
Garten von Frau H. Biger-Egloff Biglen Umänderung der Staudenrabatte,0.0,"{'LOC': 0.0, 'PER': 0.0}","[Entity(""Garten"", LOC, (0,6))]","[Entity(""Frau H. Biger-Egloff"", PER, (11,31)), Entity(""Biglen"", LOC, (32,38))]"
Schulhaus Kirchberg,0.0,{'LOC': 0.0},[],"[Entity(""Kirchberg"", LOC, (10,19))]"
"Grünanlage + Kinderspielplatz Weiher, Arbon",0.0,"{'LOC': 0.0, 'PER': 0.0}","[Entity(""Grünanlage"", LOC, (0,10)), Entity(""+"", PER, (11,12))]","[Entity(""Arbon"", LOC, (38,43))]"
"Gemeinde Wattwil / Liegenschaft Schönegg, Skizze für den Plattenbelag / Sitzplatz, Blumengarten",0.0,{'LOC': 0.0},"[Entity(""Skizze"", LOC, (42,48))]","[Entity(""Wattwil"", LOC, (9,16))]"
Strandbad Hörnli Kreuzlingen,0.0,{'LOC': 0.0},[],"[Entity(""Kreuzlingen"", LOC, (17,28))]"
Skizze,,{},[],[]
"St.Gallische Austellung Abteil, Gartenbau",,{},[],[]
Skizze,,{},[],[]
"Garten des Hrn. O. Leutenegger Sirnach, Bepflanzung der Staudenrabatten",0.0,"{'LOC': 0.0, 'PER': 0.0}","[Entity(""Hrn."", LOC, (11,15)), Entity(""der"", PER, (52,55))]","[Entity(""Hrn. O. Leutenegger"", PER, (11,30)), Entity(""Sirnach"", LOC, (31,38))]"
"Friedhof Altstätten / Kath. Teil 2. Bauetappe  Sammelschächte in Z. Steinen, Details",0.0,"{'LOC': 0.0, 'PER': 0.0}","[Entity(""Friedhof"", LOC, (0,8)), Entity(""/"", PER, (20,21)), Entity(""Kath."", LOC, (22,27)), Entity(""Teil"", LOC, (28,32)), Entity(""2."", LOC, (33,35)), Entity(""Bauetappe"", LOC, (36,45)), Entity(""Sammelschächte"", LOC, (47,61)), Entity(""in"", PER, (62,64)), Entity(""Z."", LOC, (65,67)), Entity(""Steinen,"", LOC, (68,76))]","[Entity(""Altstätten"", LOC, (9,19))]"
"Frau Schläpfer-Rothmund, Teufen, Gartengestaltung, Arbeitsplan",0.0,"{'LOC': 0.0, 'PER': 0.0}","[Entity(""Gartengestaltung,"", LOC, (33,50))]","[Entity(""Frau Schläpfer-Rothmund"", PER, (0,23)), Entity(""Teufen"", LOC, (25,31))]"
"Garten des Hrn. Locher, Oberegg, Treppensituation",0.0,"{'LOC': 0.0, 'PER': 0.0}","[Entity(""Hrn."", LOC, (11,15)), Entity(""Oberegg,"", LOC, (24,32))]","[Entity(""Hrn. Locher"", PER, (11,22)), Entity(""Oberegg"", LOC, (24,31))]"
Garten für Herrn E. Egolf - Enz Weinfelden - Magdenau,0.0,"{'LOC': 0.0, 'PER': 0.0}",[],"[Entity(""Herrn E. Egolf"", PER, (11,25)), Entity(""Magdenau"", LOC, (45,53))]"
"Herrn E. Huber, Vorschlag für die Umgestaltung der Gärten bei den Liegenschaften in Horn",0.0,"{'LOC': 0.0, 'PER': 0.0}","[Entity(""Herrn"", LOC, (0,5)), Entity(""E."", LOC, (6,8)), Entity(""Huber,"", LOC, (9,15)), Entity(""Vorschlag"", LOC, (16,25)), Entity(""für"", LOC, (26,29)), Entity(""die"", PER, (30,33)), Entity(""Umgestaltung"", LOC, (34,46)), Entity(""der"", PER, (47,50)), Entity(""Gärten"", LOC, (51,57)), Entity(""bei"", LOC, (58,61)), Entity(""den"", LOC, (62,65)), Entity(""Liegenschaften"", LOC, (66,80)), Entity(""in"", LOC, (81,83))]","[Entity(""Herrn E. Huber"", PER, (0,14)), Entity(""Horn"", LOC, (84,88))]"
"Schulgemeinde Romanshorn, Vorschläge für die Pflanzung zwischen Pestalozzi und Sekundarschulhaus",0.0,{'LOC': 0.0},"[Entity(""Schulgemeinde"", LOC, (0,13)), Entity(""Romanshorn,"", LOC, (14,25)), Entity(""Vorschläge"", LOC, (26,36)), Entity(""für"", LOC, (37,40)), Entity(""die"", LOC, (41,44)), Entity(""Pflanzung"", LOC, (45,54)), Entity(""zwischen"", LOC, (55,63)), Entity(""Pestalozzi"", LOC, (64,74)), Entity(""und"", LOC, (75,78))]","[Entity(""Romanshorn"", LOC, (14,24))]"
Skizze,,{},[],[]
"Garten des Herrn M. Hartmann, Heiden, Arbeitsplan",0.5,"{'LOC': 1.0, 'PER': 0.0}","[Entity(""Heiden,"", LOC, (30,37))]","[Entity(""Herrn M. Hartmann"", PER, (11,28)), Entity(""Heiden"", LOC, (30,36))]"
"Situationsplan, Gemeinde Turbenthal",0.0,{'LOC': 0.0},[],"[Entity(""Turbenthal"", LOC, (25,35))]"
"Garten des Herrn Max Hartmann Heiden, Genereller Vorschlag",0.0,"{'LOC': 0.0, 'PER': 0.0}",[],"[Entity(""Herrn Max Hartmann"", PER, (11,29)), Entity(""Heiden"", LOC, (30,36))]"
"Gartenanlage des Herrn P. Schubert Uttwil, Eingang Portal",0.0,"{'LOC': 0.0, 'PER': 0.0}",[],"[Entity(""Herrn P. Schubert"", PER, (17,34)), Entity(""Uttwil"", LOC, (35,41))]"
Grundrissskizze,,{},[],[]
Evang. Pfarrgarten Romanshorn,0.0,{'LOC': 0.0},[],"[Entity(""Romanshorn"", LOC, (19,29))]"
"Lilienberg Ermatingen, Badgarten/Bepflanzung",0.0,{'LOC': 0.0},"[Entity(""Ermatingen,"", LOC, (11,22)), Entity(""Badgarten/Bepflanzung"", LOC, (23,44))]","[Entity(""Ermatingen"", LOC, (11,21))]"
Villa Felice Minusio,,{},[],[]
Parkanlage Hotel Uetliberg J.A. Landry,0.0,{'LOC': 0.0},[],"[Entity(""Uetliberg"", LOC, (17,26))]"
"Erweiterung der Parkanlagen des Herrn E. Gessner- Heusser, Seidenfabrikant",0.0,"{'LOC': 0.0, 'PER': 0.0}","[Entity(""der"", PER, (12,15)), Entity(""Parkanlagen"", LOC, (16,27))]","[Entity(""Herrn E. Gessner- Heusser"", PER, (32,57))]"
"Erweiterung der Parkanlagen des Herrn E. Gessner- Heusser, Seidenfabrikant",0.0,"{'LOC': 0.0, 'PER': 0.0}","[Entity(""der"", PER, (12,15)), Entity(""Parkanlagen"", LOC, (16,27))]","[Entity(""Herrn E. Gessner- Heusser"", PER, (32,57))]"
Parkanlagen für Herrn Karl Sulzer-Schmid in Winterthur,0.0,"{'LOC': 0.0, 'PER': 0.0}",[],"[Entity(""Herrn Karl Sulzer-Schmid"", PER, (16,40)), Entity(""Winterthur"", LOC, (44,54))]"
Badhaus Krämerstein,,{},[],[]
Auf dem Kreuzbühl,,{},[],[]
