title,accuracy,entity_accuracy,predictions,targets
Grundrissskizze Hrn. Dr. Mönchner Vogelperspektive 1:100,1.3333333333333333,"{'CLT': 1.5, 'MST': 1.0}","[Entity(""Hrn."", CLT, (16,20)), Entity(""Dr."", CLT, (21,24)), Entity(""Mönchner"", CLT, (25,33)), Entity(""1:100"", MST, (51,56))]","[Entity(""Hrn. Dr. Mönchner"", CLT, (16,33)), Entity(""1:100"", MST, (51,56))]"
Heckenplan Grundstück Köster Mörschwil,0.5,"{'LOC': 0.6666666666666666, 'CLT': 0.0}","[Entity(""Köster"", LOC, (22,28)), Entity(""Mörschwil"", LOC, (29,38))]","[Entity(""Köster"", CLT, (22,28)), Entity(""Mörschwil"", LOC, (29,38))]"
"E. Cramer Gartenarchitekt, Wetzikon 2.5.62",0.0,"{'LOC': 0.0, 'DATE': 0.0, 'CLOC': 0.0, 'CLT': 0.0}","[Entity(""E."", CLT, (0,2)), Entity(""Cramer"", CLT, (3,9)), Entity(""Wetzikon"", LOC, (27,35)), Entity(""2.5.62"", LOC, (36,42))]","[Entity(""Wetzikon"", CLOC, (27,35)), Entity(""2.5.62"", DATE, (36,42))]"
"Garten Hr. Schuler, Bonstetten",0.8,"{'LOC': 1.0, 'CLT': 0.6666666666666666}","[Entity(""Hr."", CLT, (7,10)), Entity(""Schuler,"", CLT, (11,19)), Entity(""Bonstetten"", LOC, (20,30))]","[Entity(""Hr. Schuler"", CLT, (7,18)), Entity(""Bonstetten"", LOC, (20,30))]"
Skizze Gartenplanung Eichhof 1:250,0.6666666666666666,"{'LOC': 0.0, 'MST': 1.0}","[Entity(""1:250"", MST, (29,34))]","[Entity(""Eichhof"", LOC, (21,28)), Entity(""1:250"", MST, (29,34))]"
"Hof Frau Dr. lic. iur. Lepek Wettswil, 1:50",1.2,"{'LOC': 0.0, 'CLT': 1.6666666666666667, 'MST': 1.0}","[Entity(""Frau"", CLT, (4,8)), Entity(""Dr."", CLT, (9,12)), Entity(""lic."", CLT, (13,17)), Entity(""iur."", CLT, (18,22)), Entity(""Lepek"", CLT, (23,28)), Entity(""Wettswil,"", LOC, (29,38)), Entity(""1:50"", MST, (39,43))]","[Entity(""Frau Dr. lic. iur. Lepek"", CLT, (4,28)), Entity(""Wettswil"", LOC, (29,37)), Entity(""1:50"", MST, (39,43))]"
"Anwesen Ruprecht, Uznach",0.5,"{'LOC': 1.0, 'CLT': 0.0}","[Entity(""Ruprecht,"", CLT, (8,17)), Entity(""Uznach"", LOC, (18,24))]","[Entity(""Ruprecht"", CLT, (8,16)), Entity(""Uznach"", LOC, (18,24))]"
Herrn. W. R. Meister Zollikon Gartenhaus Grundriss + Fassade Mst. 1:20,1.0,"{'LOC': 0.0, 'CLT': 1.6, 'MST': 1.0}","[Entity(""Herrn."", CLT, (0,6)), Entity(""W."", CLT, (7,9)), Entity(""R."", CLT, (10,12)), Entity(""Meister"", CLT, (13,20)), Entity(""Grundriss"", LOC, (41,50)), Entity(""Fassade"", LOC, (53,60)), Entity(""1:20"", MST, (66,70))]","[Entity(""Herrn. W. R. Meister"", CLT, (0,20)), Entity(""Zollikon"", LOC, (21,29)), Entity(""Mst. 1:20"", MST, (61,70))]"
Vorschlag Hof 1:200,1.0,{'MST': 1.0},"[Entity(""1:200"", MST, (14,19))]","[Entity(""1:200"", MST, (14,19))]"
12.10.1955,1.0,{'DATE': 1.0},"[Entity(""12.10.1955"", DATE, (0,10))]","[Entity(""12.10.1955"", DATE, (0,10))]"
"Zürich, 6.12.1946",0.5,"{'DATE': 1.0, 'CLOC': 0.0}","[Entity(""Zürich,"", CLOC, (0,7)), Entity(""6.12.1946"", DATE, (8,17))]","[Entity(""Zürich"", CLOC, (0,6)), Entity(""6.12.1946"", DATE, (8,17))]"
Plan-Skizze Nr. 3773,0.0,{'DATE': 0.0},"[Entity(""3773"", DATE, (16,20))]",[]
6-Familienhaus für Hrn. W. Sommer Kleinkirche Wallisellen 1:50,1.0,"{'LOC': 0.6666666666666666, 'CLT': 1.2, 'MST': 1.0}","[Entity(""6-Familienhaus"", CLT, (0,14)), Entity(""Hrn."", CLT, (19,23)), Entity(""W."", CLT, (24,26)), Entity(""Sommer"", CLT, (27,33)), Entity(""Kleinkirche"", LOC, (34,45)), Entity(""Wallisellen"", LOC, (46,57)), Entity(""1:50"", MST, (58,62))]","[Entity(""Hrn. W. Sommer"", CLT, (19,33)), Entity(""Wallisellen"", LOC, (46,57)), Entity(""1:50"", MST, (58,62))]"
Gestaltung der Umgebung zum Uhrenfabrik-Neubau von Herrn W. Triebold in Rheinfelden,1.142857142857143,"{'LOC': 1.0, 'CLT': 1.2}","[Entity(""von"", CLT, (47,50)), Entity(""Herrn"", CLT, (51,56)), Entity(""W."", CLT, (57,59)), Entity(""Triebold"", CLT, (60,68)), Entity(""Rheinfelden"", LOC, (72,83))]","[Entity(""Herrn W. Triebold"", CLT, (51,68)), Entity(""Rheinfelden"", LOC, (72,83))]"
Bepflanzungsplan für eine Staudenrabatte im Garten von Hr. A. Stoll-Benstz in Koblenz,1.0,"{'LOC': 0.6666666666666666, 'CLT': 1.2}","[Entity(""Staudenrabatte"", LOC, (26,40)), Entity(""von"", CLT, (51,54)), Entity(""Hr."", CLT, (55,58)), Entity(""A."", CLT, (59,61)), Entity(""Stoll-Benstz"", CLT, (62,74)), Entity(""Koblenz"", LOC, (78,85))]","[Entity(""Hr. A. Stoll-Benstz"", CLT, (55,74)), Entity(""Koblenz"", LOC, (78,85))]"
"Zürich, 27.3.46. Plan-Nr. 3638 1:50",0.5714285714285715,"{'DATE': 0.6666666666666666, 'MST': 1.0, 'CLOC': 0.0}","[Entity(""Zürich,"", CLOC, (0,7)), Entity(""27.3.46."", DATE, (8,16)), Entity(""3638"", DATE, (26,30)), Entity(""1:50"", MST, (31,35))]","[Entity(""1:50"", MST, (31,35)), Entity(""Zürich"", CLOC, (0,6)), Entity(""27.3.46."", DATE, (8,16))]"
Gestaltung des Landhausgartens von Herrn F. Meier in Wil Vorprojekt 1:100,1.1111111111111112,"{'LOC': 1.0, 'CLT': 1.2, 'MST': 1.0}","[Entity(""von"", CLT, (31,34)), Entity(""Herrn"", CLT, (35,40)), Entity(""F."", CLT, (41,43)), Entity(""Meier"", CLT, (44,49)), Entity(""Wil"", LOC, (53,56)), Entity(""1:100"", MST, (68,73))]","[Entity(""Herrn F. Meier"", CLT, (35,49)), Entity(""Wil"", LOC, (53,56)), Entity(""1:100"", MST, (68,73))]"
Überbauung Dübendorf Projekt zur Gestaltung der Gärten,0.4,{'LOC': 0.4},"[Entity(""Dübendorf"", LOC, (11,20)), Entity(""Gestaltung"", LOC, (33,43)), Entity(""der"", LOC, (44,47)), Entity(""Gärten"", LOC, (48,54))]","[Entity(""Dübendorf"", LOC, (11,20))]"
MSTB. 1:100,1.0,{'MST': 1.0},"[Entity(""1:100"", MST, (6,11))]","[Entity(""1:100"", MST, (6,11))]"
"Turnhalle & Schulhaus an der Felssstrasse, Zürich 4.",1.2,{'LOC': 1.2},"[Entity(""der"", LOC, (25,28)), Entity(""Felssstrasse,"", LOC, (29,42)), Entity(""Zürich"", LOC, (43,49)), Entity(""4."", LOC, (50,52))]","[Entity(""Felssstrasse, Zürich 4."", LOC, (29,52))]"
"Bepflanzungs-Skizze zum Garten von Herrn Arch. Rüegg, Stauffacherstr. 4 St. Gallen Masse ohne Gewähr!",0.923076923076923,"{'LOC': 1.0, 'CLT': 0.8}","[Entity(""von"", CLT, (31,34)), Entity(""Herrn"", CLT, (35,40)), Entity(""Arch."", CLT, (41,46)), Entity(""Rüegg,"", CLT, (47,53)), Entity(""Stauffacherstr."", LOC, (54,69)), Entity(""4"", LOC, (70,71)), Entity(""St."", LOC, (72,75)), Entity(""Gallen"", LOC, (76,82)), Entity(""Masse"", LOC, (83,88)), Entity(""ohne"", LOC, (89,93)), Entity(""Gewähr!"", LOC, (94,101))]","[Entity(""Herrn Arch. Rüegg"", CLT, (35,52)), Entity(""Stauffacherstr. 4 St. Gallen"", LOC, (54,82))]"
Zürich 11.5.46,0.6666666666666666,"{'DATE': 1.0, 'CLOC': 0.0}","[Entity(""11.5.46"", DATE, (7,14))]","[Entity(""Zürich"", CLOC, (0,6)), Entity(""11.5.46"", DATE, (7,14))]"
Projekt zur Umgestaltung des Gartens von Herrn Dir. Meier-Bolliger Alte Landstrasse 104 Küsnacht,1.4,"{'LOC': 1.6, 'CLT': 1.2}","[Entity(""von"", CLT, (37,40)), Entity(""Herrn"", CLT, (41,46)), Entity(""Dir."", CLT, (47,51)), Entity(""Meier-Bolliger"", CLT, (52,66)), Entity(""Alte"", LOC, (67,71)), Entity(""Landstrasse"", LOC, (72,83)), Entity(""104"", LOC, (84,87)), Entity(""Küsnacht"", LOC, (88,96))]","[Entity(""Herrn Dir. Meier-Bolliger"", CLT, (41,66)), Entity(""Alte Landstrasse 104 Küsnacht"", LOC, (67,96))]"
Masstab 1:50,1.0,{'MST': 1.0},"[Entity(""1:50"", MST, (8,12))]","[Entity(""1:50"", MST, (8,12))]"
Garten von Herrn R. Ober Küsnacht,1.142857142857143,"{'LOC': 1.0, 'CLT': 1.2}","[Entity(""von"", CLT, (7,10)), Entity(""Herrn"", CLT, (11,16)), Entity(""R."", CLT, (17,19)), Entity(""Ober"", CLT, (20,24)), Entity(""Küsnacht"", LOC, (25,33))]","[Entity(""Herrn R. Ober"", CLT, (11,24)), Entity(""Küsnacht"", LOC, (25,33))]"
"Ritterhaus Uerikon Umgebung, M = 1:200",1.0,"{'LOC': 1.0, 'MST': 1.0}","[Entity(""Uerikon"", LOC, (11,18)), Entity(""1:200"", MST, (33,38))]","[Entity(""Uerikon"", LOC, (11,18)), Entity(""1:200"", MST, (33,38))]"
Projekt zur Gestaltung des Gartens von Herrn R. Ober-Ganter Küsnacht,1.142857142857143,"{'LOC': 1.0, 'CLT': 1.2}","[Entity(""von"", CLT, (35,38)), Entity(""Herrn"", CLT, (39,44)), Entity(""R."", CLT, (45,47)), Entity(""Ober-Ganter"", CLT, (48,59)), Entity(""Küsnacht"", LOC, (60,68))]","[Entity(""Herrn R. Ober-Ganter"", CLT, (39,59)), Entity(""Küsnacht"", LOC, (60,68))]"
Masstab 1:100,1.0,{'MST': 1.0},"[Entity(""1:100"", MST, (8,13))]","[Entity(""1:100"", MST, (8,13))]"
"Siedlung Lehnhalde St. Gallen, Projekt zur Gestaltung der Gärten",0.33333333333333337,{'LOC': 0.33333333333333337},"[Entity(""St."", LOC, (19,22)), Entity(""Gallen,"", LOC, (23,30)), Entity(""Gestaltung"", LOC, (43,53)), Entity(""der"", LOC, (54,57)), Entity(""Gärten"", LOC, (58,64))]","[Entity(""St. Gallen"", LOC, (19,29))]"
Siedlung Lehnhalde St. Gallen - Bruggen Typ F Haus III Neue Lösung der Nödrlichen Eingangspartie,0.75,{'LOC': 0.75},"[Entity(""St."", LOC, (19,22)), Entity(""Gallen"", LOC, (23,29)), Entity(""Bruggen"", LOC, (32,39)), Entity(""III"", LOC, (51,54)), Entity(""Neue"", LOC, (55,59)), Entity(""Lösung"", LOC, (60,66)), Entity(""Nödrlichen"", LOC, (71,81))]","[Entity(""St. Gallen - Bruggen"", LOC, (19,39))]"
Situation mit Profilen 1:500 Plan 245/25 28.5.45 Siedlung Sandacker,0.28571428571428575,"{'LOC': 0.0, 'DATE': 0.0, 'MST': 1.0}","[Entity(""1:500"", MST, (23,28)), Entity(""245/25"", LOC, (34,40)), Entity(""28.5.45"", LOC, (41,48)), Entity(""Siedlung"", LOC, (49,57)), Entity(""Sandacker"", LOC, (58,67))]","[Entity(""1:500"", MST, (23,28)), Entity(""28.5.45"", DATE, (41,48))]"
Bebauungs-Skizze M = 1:500 Für Gelände Mertens in Feldmeilen,0.6666666666666666,"{'LOC': 0.5, 'MST': 1.0}","[Entity(""1:500"", MST, (21,26)), Entity(""Gelände"", LOC, (31,38)), Entity(""Mertens"", LOC, (39,46)), Entity(""Feldmeilen"", LOC, (50,60))]","[Entity(""Feldmeilen"", LOC, (50,60)), Entity(""1:500"", MST, (21,26))]"
"Friedhofanlage in Herrliberg Abdankungshalle und Nebenräume, Skizze Fassaden M. 1:100",0.4444444444444445,"{'LOC': 0.2857142857142857, 'MST': 1.0}","[Entity(""Herrliberg"", LOC, (18,28)), Entity(""Abdankungshalle"", LOC, (29,44)), Entity(""und"", LOC, (45,48)), Entity(""Nebenräume,"", LOC, (49,60)), Entity(""Skizze"", LOC, (61,67)), Entity(""Fassaden"", LOC, (68,76)), Entity(""1:100"", MST, (80,85))]","[Entity(""Herrliberg"", LOC, (18,28)), Entity(""1:100"", MST, (80,85))]"
Baugenossenschaft Vitasana 6 Doppel-Mehrfamilienhäuser an der Wallisellen-Privatstrasse ZCH. Gestaltung der Gärten,0.2222222222222222,"{'LOC': 0.33333333333333337, 'CLT': 0.0}","[Entity(""Vitasana"", CLT, (18,26)), Entity(""6"", CLT, (27,28)), Entity(""Doppel-Mehrfamilienhäuser"", CLT, (29,54)), Entity(""Wallisellen-Privatstrasse"", LOC, (62,87)), Entity(""ZCH."", LOC, (88,92)), Entity(""Gestaltung"", LOC, (93,103)), Entity(""der"", LOC, (58,61)), Entity(""Gärten"", LOC, (108,114))]","[Entity(""Wallisellen-Privatstrasse"", LOC, (62,87))]"
Vorschlag zur Gestaltung der Umgebung des Kinderhorts A.D. Feldblumenstrasse 28 Zürich-Altstetten,0.8,"{'LOC': 1.3333333333333333, 'CLT': 0.0}","[Entity(""A.D."", CLT, (54,58)), Entity(""Feldblumenstrasse"", CLT, (59,76)), Entity(""28"", LOC, (77,79)), Entity(""Zürich-Altstetten"", LOC, (80,97))]","[Entity(""Feldblumenstrasse 28 Zürich-Altstetten"", LOC, (59,97))]"
Textilwerke Bäch AG Bepflanzungsskizze zur Umgebung bei der Lagerhalle,0.6666666666666666,"{'LOC': 0.0, 'CLT': 1.3333333333333333}","[Entity(""Bäch"", CLT, (12,16)), Entity(""AG"", CLT, (17,19)), Entity(""Bepflanzungsskizze"", LOC, (20,38)), Entity(""Lagerhalle"", LOC, (60,70))]","[Entity(""Textilwerke Bäch AG"", CLT, (0,19)), Entity(""Bäch"", LOC, (12,16))]"
